date;T;Tmax;Tmin;Rh;Rh_max;Rh_min;solar_radiation_W_m2;Wind;Precipitations;Pressure_mbar
03/02/2022;26.8131481481482;32.0977777777778;22.8477777777778;5.4875;30.2;1;34.7791666666667;0.05215;0.8128;1003.30193825
04/02/2022;26.251087962963;33.0011111111111;23.785;2.81666666666667;26.6;1;27.4916666666667;0.06258;0.4064;1002.36035225
05/02/2022;26.5089583333333;32.5872222222222;23.2561111111111;5.26666666666667;30.4;1;37.0666666666667;0.1679975;43.6372;1002.293600125
06/02/2022;26.3189351851852;34.7827777777778;23.4722222222222;6.13333333333333;39.2;1;34.4125;0.0629525;2.8194;1002.80179125
07/02/2022;25.4852314814815;31.765;23.4238888888889;1.27916666666667;6.5;1;26.3916666666667;0.0316625;17.78;1003.62313875
08/02/2022;27.0256944444444;32.8722222222222;23.04;7.84166666666667;36.5;1;41.65;0.04172;2.2098;1003.664488375
09/02/2022;25.1093518518519;30.2172222222222;23.545;1;1;1;16.025;0.01043;10.3886;1003.651787125
10/02/2022;26.5604398148148;31.9188888888889;23.7372222222222;1.6;12;1;31.4916666666667;0;0.8128;1002.639356375
11/02/2022;25.7661342592593;31.9961111111111;23.1361111111111;4.22916666666667;41;1;20.6625;0.02086;8.4582;1002.518553375
12/02/2022;25.3922685185185;30.9761111111111;22.6088888888889;1;1;1;22.6416666666667;0.0316625;9.4234;1002.06850575
13/02/2022;27.1893287037037;33.9138888888889;22.4411111111111;11.1541666666667;44.3;1;44.3666666666666;0.01043;0;1001.16417675
14/02/2022;26.5299768518518;33.0272222222222;23.0638888888889;7.15;41.5;1;31.7541666666667;0.1046725;0;1001.985242
15/02/2022;26.0466898148148;33.4172222222222;22.345;6.975;50.1;1;36.5958333333333;0.136335;0;1002.160237
16/02/2022;26.2687731481481;33.4427777777778;22.3688888888889;10.625;50.4;1;29.3583333333333;0.0420925;23.8252;1000.713988
17/02/2022;25.7475231481482;32.0977777777778;21.9388888888889;4.08333333333333;37;1;33.0625;0.09387;14.1986;1000.93103825
18/02/2022;26.0209259259259;31.8927777777778;23.1361111111111;1.82083333333333;11.6;1;28.8416666666667;0.0420925;6.985;1003.25169775
19/02/2022;26.0677314814815;33.2611111111111;22.465;7.5625;50;1;43.1666666666666;0.2201475;0.8128;1003.360364
20/02/2022;25.3795138888889;30.7477777777778;21.915;7.27083333333333;42.3;1;30.875;0.0629525;3.2004;1003.922606
21/02/2022;26.9755787037037;33.4688888888889;22.705;8.48333333333333;38.9;1;35.0916666666667;0.02086;0;1003.18960275
22/02/2022;25.0485185185185;29.79;21.6522222222222;1;1;1;18.1666666666667;0.0420925;29.591;1003.781057625
23/02/2022;25.5691435185185;32.8722222222222;21.7477777777778;7.45833333333333;38;1;42.0708333333333;0.105045;0.2032;1004.50658125
24/02/2022;24.2172916666667;33.2872222222222;20.8411111111111;4.45833333333333;40.3;1;35.7708333333333;0.0629525;9.398;1005.611166625
25/02/2022;27.0715509259259;34.3077777777778;22.1777777777778;14.9625;52;1;53.525;0.2104625;0;1004.714740625
26/02/2022;27.6097222222222;34.3338888888889;23.04;11.5958333333333;50.4;1;43.5833333333333;0;0;1003.9310735
27/02/2022;27.8117361111111;35.3677777777778;23.9538888888889;12.0416666666667;51;1;48.4291666666666;0.05215;0;1003.660254625
28/02/2022;28.5683101851852;36.1188888888889;23.9777777777778;16.825;55.5;1;48.7916666666666;0.125905;0;1002.926404625
01/03/2022;27.5153240740741;35.1022222222222;22.92;12.8083333333333;57;1;39.6666666666667;0.06258;14.1986;1002.655868
02/03/2022;27.550625;33.3388888888889;23.0877777777778;15.3208333333333;54.9;1;43.1666666666667;0.0942425;0;1002.751974125
03/03/2022;28.0087731481481;35.3422222222222;23.3038888888889;18.7208333333333;55.4;1;47.1708333333333;0.0942425;0;1002.593631875
04/03/2022;26.6095601851852;33.3127777777778;23.545;7.10833333333333;49.2;1;34.4208333333333;0.136335;1.016;1003.2017395
05/03/2022;25.3196990740741;33.2872222222222;22.7288888888889;3.05;36.9;1;27.025;0.0942425;11.0236;1003.493586
06/03/2022;26.6588425925926;34.4661111111111;22.4411111111111;11.2;45.5;1;49.3083333333333;0.2521825;16.1798;1002.97283475
07/03/2022;24.189212962963;32.7172222222222;22.0338888888889;2.0125;13.6;1;16.7125;0.2097175;21.0312;1003.7978515
08/03/2022;26.5807638888889;34.3338888888889;21.5811111111111;12.425;49.6;1;52.85;0.2417525;60.4266;1002.377005
09/03/2022;26.9471527777778;32.7422222222222;22.4411111111111;7.97916666666667;38.3;1;37.4875;0.0733825;2.3876;1002.351743625
10/03/2022;27.6915046296296;33.5211111111111;23.6172222222222;8.11666666666667;45.9;1;28.6291666666667;0.094615;0.2032;1001.560596875
11/03/2022;27.8426157407407;34.995;23.6172222222222;11.7208333333333;51.1;1;51.2916666666666;0.105045;11.9888;1000.897309375
12/03/2022;27.2399768518518;33.9922222222222;23.16;6.10416666666667;43.7;1;30.875;0.03129;18.2118;1001.2892135
13/03/2022;25.8315509259259;31.8677777777778;22.4888888888889;1;1;1;28.5291666666667;0.0525225;46.8122;1002.45180125
14/03/2022;26.8811342592593;35.2877777777778;22.0338888888889;8.975;41.2;1;50.875;0.0316625;0;1001.772284375
15/03/2022;27.380162037037;35.155;22.6811111111111;12.7791666666667;49.1;1;41.7041666666667;0.1046725;48.5902;1000.659937125
16/03/2022;27.4637037037037;33.94;23.4;11.0041666666667;48.6;1;42.0708333333333;0.07301;1.8034;1001.355965625
17/03/2022;28.0278935185185;34.81;24.05;12.1583333333333;50.6;1;45.4041666666666;0.0420925;3.5814;1001.085005625
18/03/2022;25.3368518518518;31.2811111111111;22.5372222222222;1;1;1;18.8958333333333;0.1046725;53.213;1001.376852125
19/03/2022;25.9666666666667;33.4427777777778;22.8;5.8125;32.8;1;33.0583333333333;0.094615;7.5946;1001.20990125
20/03/2022;26.7225;33.5211111111111;23.1122222222222;7.725;42.9;1;31.0291666666667;0.06258;0.4064;1002.597583375
21/03/2022;26.0505324074074;32.8977777777778;23.0161111111111;7.08333333333333;44.5;1;25.5708333333333;0.1151025;21.4122;1003.760453375
22/03/2022;26.200162037037;31.4077777777778;23.04;6.09166666666667;33.5;1;28.1625;0;0.6096;1004.589703875
23/03/2022;26.6043055555556;31.9188888888889;23.1361111111111;6.6375;30.5;1;29.1083333333333;0;0;1003.92740425
